ID,BattingTeam,total_score,city,extras
548333,Delhi Daredevils,172,Delhi,5
548333,Pune Warriors,192,Delhi,15
548334,Kings XI Punjab,164,Mumbai,6
548334,Mumbai Indians,163,Mumbai,6
548335,Kolkata Knight Riders,127,Cuttack,9
548335,Deccan Chargers,126,Cuttack,3
548336,Rajasthan Royals,143,Jaipur,10
548336,Royal Challengers Bangalore,189,Jaipur,19
548337,Delhi Daredevils,148,Pune,7
548337,Pune Warriors,146,Pune,5
548339,Kings XI Punjab,168,Chandigarh,10
548339,Mumbai Indians,171,Chandigarh,9
548341,Deccan Chargers,177,Pune,11
548341,Pune Warriors,159,Pune,9
548342,Delhi Daredevils,207,Delhi,9
548342,Mumbai Indians,170,Delhi,4
548343,Kings XI Punjab,156,Chennai,5
548343,Chennai Super Kings,149,Chennai,6
548344,Royal Challengers Bangalore,143,Kolkata,5
548344,Kolkata Knight Riders,190,Kolkata,5
548345,Delhi Daredevils,152,Delhi,8
548345,Rajasthan Royals,151,Delhi,4
548346,Deccan Chargers,100,Mumbai,5
548346,Mumbai Indians,101,Mumbai,10
548347,Kolkata Knight Riders,140,Chennai,13
548347,Chennai Super Kings,139,Chennai,6
548348,Deccan Chargers,186,Cuttack,11
548348,Pune Warriors,173,Cuttack,6
548349,Delhi Daredevils,144,Jaipur,9
548349,Rajasthan Royals,141,Jaipur,5
548350,Kings XI Punjab,163,Bangalore,4
548350,Royal Challengers Bangalore,158,Bangalore,6
548351,Pune Warriors,119,Pune,6
548351,Mumbai Indians,120,Pune,11
548352,Chennai Super Kings,160,Chennai,8
548352,Deccan Chargers,150,Chennai,4
548353,Kolkata Knight Riders,150,Kolkata,19
548353,Pune Warriors,143,Kolkata,10
548354,Rajasthan Royals,177,Chandigarh,6
548354,Kings XI Punjab,134,Chandigarh,12
548355,Chennai Super Kings,173,Mumbai,9
548355,Mumbai Indians,174,Mumbai,3
548356,Royal Challengers Bangalore,185,Bangalore,6
548356,Deccan Chargers,181,Bangalore,6
548357,Kolkata Knight Riders,154,Delhi,16
548357,Delhi Daredevils,153,Delhi,14
548358,Rajasthan Royals,126,Pune,0
548358,Pune Warriors,125,Pune,10
548359,Kings XI Punjab,170,Hyderabad,7
548359,Deccan Chargers,145,Hyderabad,12
